Data number,Northing,Easting,Depth (m),Meterage (m),Drilling time (hr),Formation type,Hole size,WOB (1000lb),Flow rate (gpm),MW (pcf),MFVIS,Retort solid (%),Pore pressure (psi),Fracture pressure (psi),Fan 600/Fan 300,Gel10min/Gel10s,Pump pressure (psi),RPM,Mud loss (bbl/hr)
1,1897071,1038001,2338,7,12,1,8.5,24,350,115,44,32,2957.26362,4644.201528,1.810166913,2.898567643,1758.429533,42.82777109,0
2,1897071,1038001,2343,5,11,1,8.5,24,400,115,47,32,3137.215001,4926.804158,1.781178769,2.692849882,1812.319911,61.04657694,0
3,1897071,1038001,2352,9,14,1,8.5,11,400,115,44,32,3279.772918,5150.682643,1.751817815,2.505098057,1857.931601,77.4332557,0
4,1897071,1038001,2383,31,24,1,8.5,12.5,400,115,45,32,3387.184365,5319.365746,1.722194765,2.334585698,1895.908445,92.07685687,0
5,1897071,1038001,2418,35,24,1,8.5,15,400,115,47,32,3461.696334,5436.382233,1.692420333,2.180586337,1926.894285,105.06643,0
6,1897071,1038001,2460,42,22,1,8.5,21,400,115,47,32,3505.555817,5505.260867,1.662605236,2.042373504,1951.532961,116.4910246,0
7,1897071,1038001,2503,43,24,1,8.5,21,400,115,47,32,3521.009806,5529.530412,1.632860186,1.919220731,1970.468316,126.4396901,0
8,1897071,1038001,2567,64,24,1,8.5,22.5,400,115,47,32,3510.305295,5512.719632,1.603295898,1.810401548,1984.344192,135.0014761,0
9,1897139,1036391,2280,116,22,1,17.5,35,920,91,45,23,3475.689276,5458.357293,1.574023087,1.715189488,1993.804429,142.2654321,0
10,1890803,1042438,1584,51,11,1,17.5,42.5,960,66.7,30,8,3419.408741,5369.972157,1.545152468,1.63285808,1999.49287,148.3206077,0
11,1890803,1042438,1725,141,24,1,17.5,27.5,950,72.5,30,11,3343.710682,5251.092988,1.516794754,1.562680857,2002.053356,153.2560523,0
12,1890803,1042438,1837,112,19,1,17.5,22.5,950,75,31,11,3250.842093,5105.248552,1.489060661,1.503931349,2002.129728,157.1608154,0
13,1890803,1042438,1943,106,21,1,17.5,22.5,950,75.5,32,13,3143.049965,4935.967612,1.462060902,1.455883087,2000.365829,160.1239466,0
14,1890803,1042438,2077,134,23,1,17.5,22.5,950,76.5,36,14,3022.581291,4746.778933,1.435906193,1.417809603,1997.4055,162.2344954,0
15,1890803,1042438,2164,87,20,1,17.5,22.5,950,77.5,36,15,2891.683063,4541.211277,1.410707247,1.388984427,1993.892583,163.5815113,0
16,1890803,1042438,2236,72,18.5,1,17.5,22.5,950,78,36,15,2752.602275,4322.793411,1.38657478,1.368681091,1990.470919,164.2540438,0
17,1890803,1042438,2286,50,18,1,17.5,30,950,78,36,15,2607.585918,4095.054097,1.363619506,1.356173126,1987.784349,164.3411424,0
18,1890803,1042438,2335,49,18,1,17.5,30,950,79,37,16,2458.880984,3861.5221,1.341952138,1.350734064,1986.476717,163.9318567,0
19,1890803,1042438,2397,62,23,1,17.5,30,950,80,37,16,2308.734467,3625.726184,1.321683393,1.351637434,1987.191862,163.1152361,0
20,1890803,1042438,2450,53,20,1,17.5,30,950,80,37,16,2175.68662,3416.782683,1.304690413,1.37255188,2042.344817,162.7107217,0
21,1890803,1042438,2461,11,4,1,17.5,30,950,80,37,16,2046.025077,3213.157165,1.285951145,1.405333673,2104.61093,161.5934066,0
22,1890803,1042438,2501,40,14,1,17.5,22.5,950,82,38,18,1924.652135,3022.548387,1.271285027,1.448616613,2142.352242,160.2895753,0
23,1927084,1012494,28,28,5,1,26,6,450,65.5,56,0.3,1815.621402,2851.322295,1.261495188,1.462464059,2169.9406,158.966439,0
24,1927084,1012494,50,22,11,1,26,10,450,67,54,4,1721.469234,2703.462077,1.25221233,1.442747707,2188.168993,158.4244134,0
25,1927084,1012494,123,73,12,1,26,20,800,67.5,56,4,1643.25733,2580.635068,1.247352488,1.420652589,2203.433323,158.7199287,0
26,1927084,1012494,585,122,23,1,26,47.5,950,66,30,3,1587.600542,2493.229488,1.248546,1.385734193,2211.854767,158.9426789,0
27,1927084,1012494,635,50,11,1,26,47.5,950,66.5,32,4,1582.07523,2484.552325,1.250915869,1.403431586,2190.08019,159.5960796,0
28,1927084,1012494,738,103,24,1,26,45,950,67,31,5,1574.272979,2472.299367,1.256737228,1.414974708,2210.402435,162.0522721,0
29,1927084,1012494,836,98,24,1,26,45,950,68,30,5,1530.437885,2403.459035,1.252998425,1.442674582,2281.842887,163.9129789,0
30,1927084,1012494,868,32,10,1,26,45,920,68,30,5,1490.119014,2340.140714,1.24984697,1.477090199,2296.286011,162.2854173,0
31,1927084,1012494,919,51,17,1,26,45,920,68.5,32,6,1460.863841,2294.197257,1.245589061,1.530200569,2296.061776,159.9465399,0
32,1927084,1012494,967,48,20,1,26,40,920,69,33,7,1446.380937,2271.452741,1.234872393,1.547244497,2294.98812,160.7840808,0
33,1927084,1012494,1008,41,20,1,26,40,920,70,34,7,1451.086246,2278.842142,1.227599639,1.551586005,2278.556579,162.5007425,0
34,1927084,1012494,1017,9,3,1,26,40,920,70,33,7,1478.007534,2321.120377,1.223867258,1.57027687,2271.440451,164.1817642,0
35,1927084,1012494,1245,41,7,1,17.5,40,950,70,29,9,1519.421007,2386.157702,1.222807697,1.582571622,2276.119691,165.1871102,0
36,1927084,1012494,1304,59,10,1,17.5,40,880,73,29,9,1583.540604,2486.853605,1.224649524,1.599241471,2282.058212,166.4983665,0
37,1927084,1012494,1380,76,16,1,17.5,40,870,73,30,9,1674.775522,2630.13246,1.231775895,1.610921007,2291.810217,168.1155331,0
38,1927084,1012494,1539,133,24,1,17.5,27.5,950,73,30,9,1792.634774,2815.223201,1.242362733,1.622243437,2306.207306,170.03861,0
39,1927084,1012494,1666,127,24,1,17.5,27.5,950,73.5,31,9,1940.092974,3046.79728,1.256708697,1.607815233,2324.92278,172.2675973,0
40,1927084,1012494,1753,87,17,1,17.5,25,950,74.5,31,10,2232.190828,3505.519084,1.289316039,1.622804201,2418.669439,175.6860707,0
41,1927084,1012494,1828,75,15,1,17.5,25,950,75,32,10,2455.164712,3855.685922,1.3251213,1.617497442,2428.446688,178.973864,0
42,1927084,1012494,1900,72,15,1,17.5,25,950,76,30,11,2532.738837,3977.511337,1.344992996,1.612576077,2360.717256,177.3329373,0
43,1927084,1012494,2002,102,24,1,17.5,25,950,77.25,30,11,2587.626663,4063.709308,1.361402249,1.598981595,2316.609742,174.7623998,0
44,1927084,1012494,2026,24,9,1,17.5,25,950,77.75,30,11,2619.114906,4113.159668,1.371971493,1.581182203,2295.277695,174.3302643,0
45,1891966,1041428,1557,75,21,1,17.5,42.5,900,71,31,11,2655.490682,4170.285597,1.389586436,1.575417215,2293.454113,174.0993466,0
46,1891966,1041428,1563,6,3,1,17.5,42.5,900,75,31,11,2680.966843,4210.29435,1.403124026,1.581194931,2289.457974,174.0867241,0
47,1891966,1041428,1630,67,10,1,17.5,20,900,75,31,11,2697.03112,4235.522313,1.419025231,1.578289632,2280.527176,173.9389664,0
48,1891966,1041428,1810,180,24,1,17.5,20,950,75,31,11,2705.548342,4248.898089,1.43133221,1.572136422,2271.978022,173.2967033,0
49,1891966,1041428,1900,90,15,1,17.5,20,950,75.5,37,13,2704.899174,4247.87861,1.440593515,1.56510659,2266.231066,172.9648055,0
50,1891966,1041428,1970,70,13,1,17.5,20,950,76.5,38,14,2698.251,4237.438059,1.448479836,1.569751034,2258.088803,172.5839026,0
51,1891966,1041428,2043,60,19,1,17.5,45,860,77.5,39,17,2686.079623,4218.323657,1.452318169,1.552126349,2254.397089,172.2579448,0
52,1891966,1041428,2059,16,9.5,1,17.5,45,860,80,36,17,2672.498973,4196.996078,1.450580632,1.545150967,2259.106029,171.980992,0
53,1891966,1041428,2243,112,18,1,17.5,20,930,83,37,21,2651.412185,4163.880567,1.443685175,1.530683474,2271.317196,171.7471042,0
54,1891966,1041428,2314,71,12.5,1,17.5,22.5,920,85.5,38,22,2698.454313,4237.75735,1.456804953,1.53822696,2293.592219,172.025542,0
